"","Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","Latitude","Longitude","Rendimento.seco","Produtividade"
"1123",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071651405964,-1.00015066078711,7.8,0
"1124",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071929825583,-1.00014918860359,33,1
"1125",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071887303162,-1.00014913599081,6.6,0
"1126",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071838604767,-1.00014906603529,7.1,0
"1127",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071758400554,-1.000148848764,7.5,0
"1128",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071686375334,-1.00014872950837,7.7,0
"1129",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072024468224,-1.000147569494,7.3,0
"1130",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071986077029,-1.00014749232859,6.5,0
"1131",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072297421271,-1.00014618850596,15.9,1
"1132",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072290535894,-1.00014619201348,15.9,1
"1133",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072411927182,-1.00014449554363,17.3,1
"1134",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072394776333,-1.00014449554363,6.1,0
"1135",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072298088944,-1.00014432036256,5.8,0
"1136",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072263787246,-1.00014428177985,6.9,0
"1137",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072220597153,-1.00014421533186,6.9,0
"1138",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072557312967,-1.00014291852427,21.3,1
